layer_id,layer_name,description,source_path,source_type,source_layer_name,zone,sub_zone,variable_type,processing_method,invert_bio,invert_refs,invert_agri,jenks_classes,manual_values,percentile_lower,percentile_upper,nodata_treatment,component_weight_bio,component_weight_refs,component_weight_agri,national,eastern_cape,free_state,gauteng,kwazulu_natal,limpopo,mpumalanga,north_west,northern_cape,western_cape,notes,data_source,year,status
RSA_HumSet_Raster,Human Settlement Density,Human Settlement Density,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_HumSet_Raster,File Geodatabase Raster,RSA_HumSet_Raster,all,NA,categorical,manual,FALSE,FALSE,FALSE,NA,0=0; 1=15; 2=30; 3=90; 4=80; 5=50; 6=80; 7=100,NA,NA,make 0,3,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
RSA_REDZ_Raster,Renewable Energy Development Zones,Renewable Energy Development Zones & Transmission Corridors,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_REDZ_Raster,File Geodatabase Raster,RSA_REDZ_Raster,refs,NA,binary,binary,NA,TRUE,NA,NA,NA,NA,NA,make 0,NA,2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
RSA_DisttTL,Distance to Transmission Line,Distance to Nearest Transmission Line,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_DisttTL,File Geodatabase Raster,RSA_DisttTL,refs,NA,continuous,jenks,NA,FALSE,NA,20,NA,NA,NA,leave as is,NA,2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
Reclass_RSA_1,Threatened Species Richness,Threatened Species Richness,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Reclass_RSA_1,File Geodatabase Raster,Reclass_RSA_1,all,NA,continuous,jenks,TRUE,FALSE,FALSE,10,NA,NA,NA,leave as is,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Environmental Screening Tool (DFFE),NA,confirmed
WindSpeed_100magl,Wind Speed,Wind Speed at 100 m above ground,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\WindSpeed_100magl,File Geodatabase Raster,WindSpeed_100magl,refs,NA,continuous,jenks,NA,TRUE,NA,20,NA,NA,NA,leave as is,NA,2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
RSA_PVOUT_Resample,Photovoltaic Potential,Photovoltaic Potential,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_PVOUT_Resample,File Geodatabase Raster,RSA_PVOUT_Resample,refs,NA,continuous,jenks,NA,TRUE,NA,10,NA,NA,NA,leave as is,NA,2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
SSA_BII,Biodiversity Intactness Index,Sub-Saharan African Biodiversity Intactness Index,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\SSA_BII,File Geodatabase Raster,SSA_BII,all,NA,continuous,jenks,TRUE,FALSE,FALSE,20,NA,NA,NA,leave as is,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
Focal_Refugia_CC,Climate Change Refugia (MP),Climate Change Refugia (MP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\Mpumalanga_MarxZone.gdb\Focal_Refugia_CC,File Geodatabase Raster,Focal_Refugia_CC,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
CC_Landscape_Corridors,Climate Change Landscape Corridors (MP),Climate Change Landscape Corridors (MP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\Mpumalanga_MarxZone.gdb\CC_Landscape_Corridors,File Geodatabase Raster,CC_Landscape_Corridors,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
Local_Corridors_CC,Climate Change Local Corridors (MP),Climate Change Local Corridors (MP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\Mpumalanga_MarxZone.gdb\Local_Corridors_CC,File Geodatabase Raster,Local_Corridors_CC,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 1=75; 2=90; 3=100,NA,NA,make 0,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
Reclass_MBSP1,Freshwater Critical Biodiversity Areas (MP),Freshwater Critical Biodiversity & Ecological Support Areas (MP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\Mpumalanga_MarxZone.gdb\Reclass_MBSP1,File Geodatabase Raster,Reclass_MBSP1,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 2=20; 4=40; 6=60; 10=80,NA,NA,check after provincial mask,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
MPSBCOST,MP Biodiversity Spatial Plan Cost Layer,MP Biodiversity Spatial Plan Cost Layer,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\input\MPSBCOST.tif,Raster,NA,all,NA,continuous,jenks,FALSE,TRUE,TRUE,10,NA,NA,NA,leave as is,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
REF_MBSP,Critical Biodiversity Areas (MP),Critical Biodiversity & Ecological Support Areas (MP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\MP\Mpumalanga_MarxZone.gdb\REF_MBSP,File Geodatabase Raster,REF_MBSP,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 1=10; 2=20; 3=40; 4=60; 5=75; 6=90; 7=100,NA,NA,leave as is,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,MPTA,NA,confirmed
NC_Conophytum_SR,Conophytum Species Richness (NC),Conophytum Species Richness (NC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\NC\NC_MarxZone.gdb\NC_Conophytum_SR,File Geodatabase Raster,NC_Conophytum_SR,bio; agri,NA,continuous,jenks,TRUE,NA,FALSE,10,NA,NA,NA,check after provincial mask,1,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TBC,NA,confirmed
NC_Succulent_SR,Succulent Species Richness (NC),Succulent Species Richness (NC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\NC\NC_MarxZone.gdb\NC_Succulent_SR,File Geodatabase Raster,NC_Succulent_SR,bio; agri,NA,continuous,jenks,TRUE,NA,FALSE,10,NA,NA,NA,check after provincial mask,1,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TBC,NA,confirmed
NC_SK_Expert,Succulent Karoo Priority Area (NC),Succulent Karoo Priority Area (NC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\NC\NC_MarxZone.gdb\NC_SK_Expert,File Geodatabase Raster,NC_SK_Expert,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TBC,NA,confirmed
NC_BSP_Raster,Critical Biodiversity Areas (NC),Critical Biodiversity & Ecological Support Areas (NC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\NC\NC_MarxZone.gdb\NC_BSP_Raster,File Geodatabase Raster,NC_BSP_Raster,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 1=60; 2=80; 3=90; 4=100; 5=30,NA,NA,check after provincial mask,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TBC,NA,confirmed
NC_SKEP_Scal,Succulent Karoo Priority Region  (NC),Succulent Karoo Priority Region  (NC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\NC\NC_MarxZone.gdb\NC_SKEP_Scal,File Geodatabase Raster,NC_SKEP_Scal,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,check after provincial mask,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TBC,NA,confirmed
BSP_Cost_PA,Critical Biodiversity Areas (FS),Critical Biodiversity & Ecological Support Areas (FS),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\Free State\FSMarxanWZones.gdb\BSP_Cost_PA,File Geodatabase Raster,BSP_Cost_PA,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=100; 10=90; 20=80; 40=60; 50=50; 80=10; 90=5,NA,NA,leave as is,3,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
EC_BSP_RASTER,Critical Biodiversity Areas (EC),Critical Biodiversity & Ecological Support Areas (EC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\EC\EC_MarxZone.gdb\EC_BSP_RASTER,File Geodatabase Raster,EC_BSP_RASTER,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,1=0; 4=50; 3=60; 6=80; 2=90; 5=100,NA,NA,leave as is,3,2,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
FWBSP_COST_REFS,Freshwater Critical Biodiversity Areas (EC),Freshwater Critical Biodiversity & Ecological Support Areas (EC),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\EC\EC_MarxZone.gdb\FWBSP_COST_REFS,File Geodatabase Raster,FWBSP_COST_REFS,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 50=50; 60=60; 80=80; 90=90,NA,NA,leave as is,3,2,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
GP_BSP_COST_REF,Critical Biodiversity Areas (GP),Critical Biodiversity & Ecological Support Areas (GP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\Gauteng\GP_Marxan.gdb\GP_BSP_COST_REF,File Geodatabase Raster,GP_BSP_COST_REF,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 50=50; 60=60; 80=80; 90=90; 100=100,NA,NA,leave as is,3,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
BSP_COST_AGRI,Critical Biodiversity Areas (KZN),Critical Biodiversity & Ecological Support Areas (KZN),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\KZN\KZN\KZN.gdb\BSP_COST_AGRI,File Geodatabase Raster,BSP_COST_AGRI,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 50=50; 60=60; 80=80; 90=90; 100=100,NA,NA,check after provincial mask,3,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
BSP_COR_COST_AGRI,Ecological Corridors (KZN),Ecological Corridors & Critical Linkages (KZN),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\KZN\KZN\KZN.gdb\BSP_COR_COST_AGRI,File Geodatabase Raster,BSP_COR_COST_AGRI,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 90=90; 100=100,NA,NA,check after provincial mask,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
BSP_LP,Critical Biodiversity Areas (LP),Critical Biodiversity & Ecological Support Areas (LP),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\Limpopo\Limpopo.gdb\BSP_LP,File Geodatabase Raster,BSP_LP,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,6=0; 7=20; 5=50; 4=60; 3=80; 2=90; 1=100,NA,NA,leave as is,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TBC,NA,confirmed
nw_bsp,Critical Biodiversity Areas (NW),Critical Biodiversity & Ecological Support Areas (NW),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\North West\North West.gdb\nw_bsp,File Geodatabase Raster,nw_bsp,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 1=20; 2=50; 3=60; 4=80; 5=90; 6=100,NA,NA,leave as is,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TBC,NA,confirmed
freshwater_bsp_cost,Freshwater Critical Biodiversity Areas (NW),Freshwater Critical Biodiversity & Ecological Support Areas (NW),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\North West\North West.gdb\freshwater_bsp_cost,File Geodatabase Raster,freshwater_bsp_cost,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 2=50;4=60; 6=80; 8=90,NA,NA,check after provincial mask,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TBC,NA,confirmed
